Date,Forecast_Value,Lower_interval,Upper_interval
2023 Oct,165.53686366807528,0,610.7831737172336
2023 Nov,88.14894377965447,0,533.3952538288128
2023 Dec,50.52812261883446,0,495.77443266799276
2024 Jan,0,0,445.2463100491583
2024 Feb,16.622101393785897,0,461.8684114429442
2024 Mar,10.917857597039983,0,456.1641676461983
2024 Apr,0,0,445.2463100491583
2024 May,7.196464880312078,0,452.4427749294704
2024 Jun,75.39106423857493,0,520.6373742877332
2024 Jul,310.6106136855228,0,755.8569237346811
2024 Aug,330.0634658060437,0,775.309775855202
2024 Sep,177.59657207685427,0,622.8428821260126
2024 Oct,27.537505466228595,0,472.7838155153869
2024 Nov,0,0,445.2463100491583
2024 Dec,0,0,445.2463100491583
