"Year","Month","mean_c02","month_year"
1982,1,340.75,1982 Jan
1982,2,341.61,1982 Feb
1982,3,342.7,1982 Mar
1982,4,343.57,1982 Apr
1982,5,344.14,1982 May
1982,6,343.35,1982 Jun
1982,7,342.06,1982 Jul
1982,8,339.81,1982 Aug
1982,9,337.98,1982 Sep
1982,10,337.86,1982 Oct
1982,11,339.26,1982 Nov
1982,12,340.49,1982 Dec
1983,1,341.38,1983 Jan
1983,2,342.52,1983 Feb
1983,3,343.1,1983 Mar
1983,4,344.94,1983 Apr
1983,5,345.76,1983 May
1983,6,345.32,1983 Jun
1983,7,343.98,1983 Jul
1983,8,342.38,1983 Aug
1983,9,339.87,1983 Sep
1983,10,339.99,1983 Oct
1983,11,341.15,1983 Nov
1983,12,342.99,1983 Dec
1984,1,343.7,1984 Jan
1984,2,344.5,1984 Feb
1984,3,345.28,1984 Mar
1984,4,347.07,1984 Apr
1984,5,347.43,1984 May
1984,6,346.8,1984 Jun
1984,7,345.39,1984 Jul
1984,8,343.28,1984 Aug
1984,9,341.07,1984 Sep
1984,10,341.35,1984 Oct
1984,11,342.98,1984 Nov
1984,12,344.22,1984 Dec
1985,1,344.97,1985 Jan
1985,2,345.99,1985 Feb
1985,3,347.43,1985 Mar
1985,4,348.35,1985 Apr
1985,5,348.93,1985 May
1985,6,348.25,1985 Jun
1985,7,346.56,1985 Jul
1985,8,344.68,1985 Aug
1985,9,343.09,1985 Sep
1985,10,342.8,1985 Oct
1985,11,344.24,1985 Nov
1985,12,345.56,1985 Dec
1986,1,346.3,1986 Jan
1986,2,346.95,1986 Feb
1986,3,347.85,1986 Mar
1986,4,349.55,1986 Apr
1986,5,350.21,1986 May
1986,6,349.55,1986 Jun
1986,7,347.94,1986 Jul
1986,8,345.9,1986 Aug
1986,9,344.85,1986 Sep
1986,10,344.17,1986 Oct
1986,11,345.66,1986 Nov
1986,12,346.9,1986 Dec
1987,1,348.02,1987 Jan
1987,2,348.47,1987 Feb
1987,3,349.41,1987 Mar
1987,4,350.99,1987 Apr
1987,5,351.85,1987 May
1987,6,351.26,1987 Jun
1987,7,349.51,1987 Jul
1987,8,348.1,1987 Aug
1987,9,346.45,1987 Sep
1987,10,346.36,1987 Oct
1987,11,347.81,1987 Nov
1987,12,348.96,1987 Dec
1988,1,350.43,1988 Jan
1988,2,351.73,1988 Feb
1988,3,352.22,1988 Mar
1988,4,353.59,1988 Apr
1988,5,354.22,1988 May
1988,6,353.79,1988 Jun
1988,7,352.38,1988 Jul
1988,8,350.43,1988 Aug
1988,9,348.73,1988 Sep
1988,10,348.88,1988 Oct
1988,11,350.07,1988 Nov
1988,12,351.34,1988 Dec
1989,1,352.76,1989 Jan
1989,2,353.07,1989 Feb
1989,3,353.68,1989 Mar
1989,4,355.42,1989 Apr
1989,5,355.67,1989 May
1989,6,355.12,1989 Jun
1989,7,353.9,1989 Jul
1989,8,351.67,1989 Aug
1989,9,349.8,1989 Sep
1989,10,349.99,1989 Oct
1989,11,351.29,1989 Nov
1989,12,352.52,1989 Dec
1990,1,353.66,1990 Jan
1990,2,354.7,1990 Feb
1990,3,355.38,1990 Mar
1990,4,356.2,1990 Apr
1990,5,357.16,1990 May
1990,6,356.23,1990 Jun
1990,7,354.81,1990 Jul
1990,8,352.91,1990 Aug
1990,9,350.96,1990 Sep
1990,10,351.18,1990 Oct
1990,11,352.83,1990 Nov
1990,12,354.21,1990 Dec
1991,1,354.72,1991 Jan
1991,2,355.75,1991 Feb
1991,3,357.16,1991 Mar
1991,4,358.6,1991 Apr
1991,5,359.34,1991 May
1991,6,358.24,1991 Jun
1991,7,356.17,1991 Jul
1991,8,354.02,1991 Aug
1991,9,352.15,1991 Sep
1991,10,352.21,1991 Oct
1991,11,353.75,1991 Nov
1991,12,354.99,1991 Dec
1992,1,355.99,1992 Jan
1992,2,356.72,1992 Feb
1992,3,357.81,1992 Mar
1992,4,359.15,1992 Apr
1992,5,359.66,1992 May
1992,6,359.25,1992 Jun
1992,7,357.02,1992 Jul
1992,8,355,1992 Aug
1992,9,353.01,1992 Sep
1992,10,353.31,1992 Oct
1992,11,354.16,1992 Nov
1992,12,355.4,1992 Dec
1993,1,356.7,1993 Jan
1993,2,357.16,1993 Feb
1993,3,358.38,1993 Mar
1993,4,359.46,1993 Apr
1993,5,360.28,1993 May
1993,6,359.6,1993 Jun
1993,7,357.57,1993 Jul
1993,8,355.52,1993 Aug
1993,9,353.69,1993 Sep
1993,10,353.99,1993 Oct
1993,11,355.33,1993 Nov
1993,12,356.8,1993 Dec
1994,1,358.37,1994 Jan
1994,2,358.91,1994 Feb
1994,3,359.97,1994 Mar
1994,4,361.27,1994 Apr
1994,5,361.69,1994 May
1994,6,360.94,1994 Jun
1994,7,359.55,1994 Jul
1994,8,357.48,1994 Aug
1994,9,355.84,1994 Sep
1994,10,356,1994 Oct
1994,11,357.58,1994 Nov
1994,12,359.04,1994 Dec
1995,1,359.97,1995 Jan
1995,2,361,1995 Feb
1995,3,361.64,1995 Mar
1995,4,363.45,1995 Apr
1995,5,363.8,1995 May
1995,6,363.26,1995 Jun
1995,7,361.9,1995 Jul
1995,8,359.45,1995 Aug
1995,9,358.05,1995 Sep
1995,10,357.76,1995 Oct
1995,11,359.56,1995 Nov
1995,12,360.7,1995 Dec
1996,1,362.05,1996 Jan
1996,2,363.24,1996 Feb
1996,3,364.02,1996 Mar
1996,4,364.72,1996 Apr
1996,5,365.41,1996 May
1996,6,364.97,1996 Jun
1996,7,363.65,1996 Jul
1996,8,361.48,1996 Aug
1996,9,359.45,1996 Sep
1996,10,359.61,1996 Oct
1996,11,360.76,1996 Nov
1996,12,362.33,1996 Dec
1997,1,363.18,1997 Jan
1997,2,363.99,1997 Feb
1997,3,364.56,1997 Mar
1997,4,366.36,1997 Apr
1997,5,366.8,1997 May
1997,6,365.63,1997 Jun
1997,7,364.47,1997 Jul
1997,8,362.5,1997 Aug
1997,9,360.19,1997 Sep
1997,10,360.77,1997 Oct
1997,11,362.43,1997 Nov
1997,12,364.28,1997 Dec
1998,1,365.33,1998 Jan
1998,2,366.15,1998 Feb
1998,3,367.31,1998 Mar
1998,4,368.61,1998 Apr
1998,5,369.3,1998 May
1998,6,368.88,1998 Jun
1998,7,367.64,1998 Jul
1998,8,365.77,1998 Aug
1998,9,363.9,1998 Sep
1998,10,364.24,1998 Oct
1998,11,365.46,1998 Nov
1998,12,366.97,1998 Dec
1999,1,368.15,1999 Jan
1999,2,368.87,1999 Feb
1999,3,369.59,1999 Mar
1999,4,371.14,1999 Apr
1999,5,371,1999 May
1999,6,370.35,1999 Jun
1999,7,369.27,1999 Jul
1999,8,366.93,1999 Aug
1999,9,364.64,1999 Sep
1999,10,365.13,1999 Oct
1999,11,366.68,1999 Nov
1999,12,368.01,1999 Dec
2000,1,369.14,2000 Jan
2000,2,369.46,2000 Feb
2000,3,370.51,2000 Mar
2000,4,371.66,2000 Apr
2000,5,371.83,2000 May
2000,6,371.69,2000 Jun
2000,7,370.12,2000 Jul
2000,8,368.12,2000 Aug
2000,9,366.62,2000 Sep
2000,10,366.73,2000 Oct
2000,11,368.29,2000 Nov
2000,12,369.53,2000 Dec
2001,1,370.28,2001 Jan
2001,2,371.5,2001 Feb
2001,3,372.12,2001 Mar
2001,4,372.87,2001 Apr
2001,5,374.02,2001 May
2001,6,373.31,2001 Jun
2001,7,371.62,2001 Jul
2001,8,369.55,2001 Aug
2001,9,367.96,2001 Sep
2001,10,368.1,2001 Oct
2001,11,369.68,2001 Nov
2001,12,371.24,2001 Dec
2002,1,372.44,2002 Jan
2002,2,373.08,2002 Feb
2002,3,373.52,2002 Mar
2002,4,374.86,2002 Apr
2002,5,375.55,2002 May
2002,6,375.4,2002 Jun
2002,7,374.02,2002 Jul
2002,8,371.48,2002 Aug
2002,9,370.7,2002 Sep
2002,10,370.25,2002 Oct
2002,11,372.08,2002 Nov
2002,12,373.78,2002 Dec
2003,1,374.68,2003 Jan
2003,2,375.62,2003 Feb
2003,3,376.11,2003 Mar
2003,4,377.65,2003 Apr
2003,5,378.35,2003 May
2003,6,378.13,2003 Jun
2003,7,376.61,2003 Jul
2003,8,374.48,2003 Aug
2003,9,372.98,2003 Sep
2003,10,373,2003 Oct
2003,11,374.34,2003 Nov
2003,12,375.69,2003 Dec
2004,1,376.79,2004 Jan
2004,2,377.36,2004 Feb
2004,3,378.39,2004 Mar
2004,4,380.5,2004 Apr
2004,5,380.61,2004 May
2004,6,379.55,2004 Jun
2004,7,377.76,2004 Jul
2004,8,375.84,2004 Aug
2004,9,374.05,2004 Sep
2004,10,374.22,2004 Oct
2004,11,375.84,2004 Nov
2004,12,377.44,2004 Dec
2005,1,378.34,2005 Jan
2005,2,379.61,2005 Feb
2005,3,380.17,2005 Mar
2005,4,382.05,2005 Apr
2005,5,382.24,2005 May
2005,6,382.08,2005 Jun
2005,7,380.67,2005 Jul
2005,8,378.67,2005 Aug
2005,9,376.42,2005 Sep
2005,10,376.8,2005 Oct
2005,11,378.31,2005 Nov
2005,12,379.96,2005 Dec
2006,1,381.37,2006 Jan
2006,2,382.02,2006 Feb
2006,3,382.56,2006 Mar
2006,4,384.37,2006 Apr
2006,5,384.92,2006 May
2006,6,384.03,2006 Jun
2006,7,382.28,2006 Jul
2006,8,380.48,2006 Aug
2006,9,378.81,2006 Sep
2006,10,379.06,2006 Oct
2006,11,380.14,2006 Nov
2006,12,381.66,2006 Dec
2007,1,382.58,2007 Jan
2007,2,383.71,2007 Feb
2007,3,384.34,2007 Mar
2007,4,386.23,2007 Apr
2007,5,386.41,2007 May
2007,6,385.87,2007 Jun
2007,7,384.45,2007 Jul
2007,8,381.84,2007 Aug
2007,9,380.86,2007 Sep
2007,10,380.86,2007 Oct
2007,11,382.35,2007 Nov
2007,12,383.61,2007 Dec
2008,1,385.07,2008 Jan
2008,2,385.84,2008 Feb
2008,3,385.83,2008 Mar
2008,4,386.77,2008 Apr
2008,5,388.51,2008 May
2008,6,388.05,2008 Jun
2008,7,386.25,2008 Jul
2008,8,384.08,2008 Aug
2008,9,383.09,2008 Sep
2008,10,382.78,2008 Oct
2008,11,384.01,2008 Nov
2008,12,385.11,2008 Dec
2009,1,386.65,2009 Jan
2009,2,387.12,2009 Feb
2009,3,388.51,2009 Mar
2009,4,389.57,2009 Apr
2009,5,390.16,2009 May
2009,6,389.62,2009 Jun
2009,7,388.07,2009 Jul
2009,8,386.08,2009 Aug
2009,9,384.65,2009 Sep
2009,10,384.33,2009 Oct
2009,11,386.05,2009 Nov
2009,12,387.49,2009 Dec
2010,1,388.55,2010 Jan
2010,2,390.07,2010 Feb
2010,3,391.01,2010 Mar
2010,4,392.38,2010 Apr
2010,5,393.22,2010 May
2010,6,392.24,2010 Jun
2010,7,390.33,2010 Jul
2010,8,388.52,2010 Aug
2010,9,386.84,2010 Sep
2010,10,387.16,2010 Oct
2010,11,388.67,2010 Nov
2010,12,389.81,2010 Dec
2011,1,391.3,2011 Jan
2011,2,391.92,2011 Feb
2011,3,392.45,2011 Mar
2011,4,393.37,2011 Apr
2011,5,394.28,2011 May
2011,6,393.69,2011 Jun
2011,7,392.6,2011 Jul
2011,8,390.21,2011 Aug
2011,9,389,2011 Sep
2011,10,388.93,2011 Oct
2011,11,390.24,2011 Nov
2011,12,391.8,2011 Dec
2012,1,393.07,2012 Jan
2012,2,393.35,2012 Feb
2012,3,394.36,2012 Mar
2012,4,396.43,2012 Apr
2012,5,396.87,2012 May
2012,6,395.88,2012 Jun
2012,7,394.52,2012 Jul
2012,8,392.54,2012 Aug
2012,9,391.13,2012 Sep
2012,10,391.01,2012 Oct
2012,11,392.95,2012 Nov
2012,12,394.34,2012 Dec
2013,1,395.61,2013 Jan
2013,2,396.85,2013 Feb
2013,3,397.26,2013 Mar
2013,4,398.35,2013 Apr
2013,5,399.98,2013 May
2013,6,398.87,2013 Jun
2013,7,397.37,2013 Jul
2013,8,395.41,2013 Aug
2013,9,393.39,2013 Sep
2013,10,393.7,2013 Oct
2013,11,395.19,2013 Nov
2013,12,396.82,2013 Dec
2014,1,397.93,2014 Jan
2014,2,398.1,2014 Feb
2014,3,399.47,2014 Mar
2014,4,401.33,2014 Apr
2014,5,401.88,2014 May
2014,6,401.31,2014 Jun
2014,7,399.07,2014 Jul
2014,8,397.21,2014 Aug
2014,9,395.4,2014 Sep
2014,10,395.65,2014 Oct
2014,11,397.22,2014 Nov
2014,12,398.79,2014 Dec
2015,1,399.85,2015 Jan
2015,2,400.31,2015 Feb
2015,3,401.51,2015 Mar
2015,4,403.45,2015 Apr
2015,5,404.11,2015 May
2015,6,402.88,2015 Jun
2015,7,401.6,2015 Jul
2015,8,399,2015 Aug
2015,9,397.5,2015 Sep
2015,10,398.28,2015 Oct
2015,11,400.24,2015 Nov
2015,12,401.89,2015 Dec
2016,1,402.65,2016 Jan
2016,2,404.16,2016 Feb
2016,3,404.86,2016 Mar
2016,4,407.57,2016 Apr
2016,5,407.65,2016 May
2016,6,407,2016 Jun
2016,7,404.5,2016 Jul
2016,8,402.24,2016 Aug
2016,9,401.01,2016 Sep
2016,10,401.5,2016 Oct
2016,11,403.64,2016 Nov
2016,12,404.55,2016 Dec
2017,1,406.07,2017 Jan
2017,2,406.64,2017 Feb
